domain,source_id,system_id,display_name,family,model_key,base_engine_normalized,classification,is_oss,reasoning,base_model,teacher,lineage,n_tasks,score_all_available_tasks
algorithmic_lcb,llmrouterbench_livecodebench,gemma-2-9b-it,gemma-2-9b-it,llmrouterbench,gemma-2-9b-it,google/gemma-2-9b,oss,True,all tagged models are OSS/open-weights,Gemma-2-9B,none,base=Gemma-2-9B; teacher=none; Google Gemma open-weights family,1055,0.172512
algorithmic_lcb,llmrouterbench_livecodebench,glm-4-9b-chat,glm-4-9b-chat,llmrouterbench,glm-4-9b-chat,zai/glm-4-9b,oss,True,all tagged models are OSS/open-weights,GLM-4-9B,none,base=GLM-4-9B; teacher=none; Z.ai GLM open-weights family,1055,0.16872
algorithmic_lcb,llmrouterbench_livecodebench,glm-4.6,glm-4.6,llmrouterbench,glm-4.6,zai/glm-4.6,oss,True,all tagged models are OSS/open-weights,GLM-4.6,none,base=GLM-4.6; teacher=none; Z.ai GLM open-weights family,1055,0.63128
algorithmic_lcb,llmrouterbench_livecodebench,gpt-4.1,gpt-4.1,llmrouterbench,gpt-4.1,openai/gpt-4.1,closed,False,at least one tagged model is closed/API-only,unknown,none,base=unknown; teacher=none; lineage uncertain,1055,0.545972
algorithmic_lcb,llmrouterbench_livecodebench,gpt-5,gpt-5,llmrouterbench,gpt-5,openai/gpt-5,closed,False,at least one tagged model is closed/API-only,unknown,none,base=unknown; teacher=none; lineage uncertain,1055,0.864455
algorithmic_lcb,llmrouterbench_livecodebench,gpt-5-chat,gpt-5-chat,llmrouterbench,gpt-5-chat,openai/gpt-5,closed,False,at least one tagged model is closed/API-only,unknown,none,base=unknown; teacher=none; lineage uncertain,1055,0.621801
algorithmic_lcb,llmrouterbench_livecodebench,granite-3.3-8b-instruct,granite-3.3-8b-instruct,llmrouterbench,granite-3.3-8b-instruct,ibm/granite-3.3-8b,oss,True,all tagged models are OSS/open-weights,Granite-3.3-8B,none,base=Granite-3.3-8B; teacher=none; IBM Granite open-weights family,1055,0.14218
algorithmic_lcb,llmrouterbench_livecodebench,intern-s1,intern-s1,llmrouterbench,intern-s1,internlm/intern-s1,oss,True,all tagged models are OSS/open-weights,Intern-S1,none,base=Intern-S1; teacher=none; InternLM open-weights family,1055,0.491943
algorithmic_lcb,llmrouterbench_livecodebench,intern-s1-new,intern-s1-new,llmrouterbench,intern-s1-new,internlm/intern-s1,oss,True,all tagged models are OSS/open-weights,Intern-S1,none,base=Intern-S1; teacher=none; InternLM open-weights family,1055,0.756398
algorithmic_lcb,llmrouterbench_livecodebench,internlm3-8b-instruct,internlm3-8b-instruct,llmrouterbench,internlm3-8b-instruct,internlm/internlm3-8b,oss,True,all tagged models are OSS/open-weights,InternLM3-8B,none,base=InternLM3-8B; teacher=none; InternLM open-weights family,1055,0.212322
algorithmic_lcb,llmrouterbench_livecodebench,kimi-k2-0905,kimi-k2-0905,llmrouterbench,kimi-k2-0905,moonshot/kimi-k2,oss,True,all tagged models are OSS/open-weights,Kimi K2,none,base=Kimi K2; teacher=none; Moonshot Kimi K2 open-weights MoE,1055,0.672986
algorithmic_lcb,llmrouterbench_livecodebench,qwen3-235b-a22b-2507,qwen3-235b-a22b-2507,llmrouterbench,qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b,oss,True,all tagged models are OSS/open-weights,Qwen3-235B-A22B,none,base=Qwen3-235B-A22B; teacher=none; Qwen3 MoE open-weights family,1055,0.641706
algorithmic_lcb,llmrouterbench_livecodebench,qwen3-235b-a22b-no-thinking,qwen3-235b-a22b-no-thinking,llmrouterbench,qwen3-235b-a22b-no-thinking,qwen/qwen3-235b-a22b,oss,True,all tagged models are OSS/open-weights,Qwen3-235B-A22B,none,base=Qwen3-235B-A22B; teacher=none; Qwen3 MoE open-weights family,1055,0.50237
algorithmic_lcb,llmrouterbench_livecodebench,qwen3-235b-a22b-thinking,qwen3-235b-a22b-thinking,llmrouterbench,qwen3-235b-a22b-thinking,qwen/qwen3-235b-a22b,oss,True,all tagged models are OSS/open-weights,Qwen3-235B-A22B,none,base=Qwen3-235B-A22B; teacher=none; Qwen3 MoE open-weights family,1055,0.781043
algorithmic_lcb,llmrouterbench_livecodebench,qwen3-235b-a22b-thinking-2507,qwen3-235b-a22b-thinking-2507,llmrouterbench,qwen3-235b-a22b-thinking-2507,qwen/qwen3-235b-a22b,oss,True,all tagged models are OSS/open-weights,Qwen3-235B-A22B,none,base=Qwen3-235B-A22B; teacher=none; Qwen3 MoE open-weights family,1055,0.783886
mbpp_humaneval,mbpp_humaneval,DeepHermes-3-Llama-3-8B-Preview,DeepHermes-3-Llama-3-8B-Preview,llmrouterbench,DeepHermes-3-Llama-3-8B-Preview,deephermes-3-llama-3-8b,oss,True,all tagged models are OSS/open-weights,Llama-3-8B,Nous/Hermes synthetic data (uncertain),base=Llama-3-8B; teacher=Nous/Hermes synthetic data (uncertain); Llama derivative,1138,0.536028
mbpp_humaneval,mbpp_humaneval,DeepSeek-R1-0528-Qwen3-8B,DeepSeek-R1-0528-Qwen3-8B,llmrouterbench,DeepSeek-R1-0528-Qwen3-8B,deepseek/deepseek-r1-qwen3-8b,oss,True,all tagged models are OSS/open-weights,Qwen3-8B,DeepSeek-R1-0528,base=Qwen3-8B; teacher=DeepSeek-R1-0528; DeepSeek R1 distill on Qwen3-8B,1138,0.335677
mbpp_humaneval,mbpp_humaneval,DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-7B,llmrouterbench,DeepSeek-R1-Distill-Qwen-7B,deepseek/deepseek-r1-distill-qwen-7b,oss,True,all tagged models are OSS/open-weights,Qwen/Qwen2.5 family 7B,DeepSeek-R1,base=Qwen/Qwen2.5 family 7B; teacher=DeepSeek-R1; DeepSeek R1 distill on Qwen 7B,1138,0.523726
mbpp_humaneval,mbpp_humaneval,Fin-R1,Fin-R1,llmrouterbench,Fin-R1,fin-r1,oss,True,all tagged models are OSS/open-weights,unknown,DeepSeek-R1 (uncertain),base=unknown; teacher=DeepSeek-R1 (uncertain); R1-style open fine-tune; base uncertain,1138,0.702109
mbpp_humaneval,mbpp_humaneval,GLM-Z1-9B-0414,GLM-Z1-9B-0414,llmrouterbench,GLM-Z1-9B-0414,zai/glm-z1-9b,oss,True,all tagged models are OSS/open-weights,GLM-4-9B,GLM-Z1/RL (uncertain),base=GLM-4-9B; teacher=GLM-Z1/RL (uncertain); Z.ai GLM-Z1 open reasoning family,1138,0.625659
mbpp_humaneval,mbpp_humaneval,Intern-S1-mini,Intern-S1-mini,llmrouterbench,Intern-S1-mini,internlm/intern-s1-mini,oss,True,all tagged models are OSS/open-weights,Intern-S1-mini,none,base=Intern-S1-mini; teacher=none; InternLM open-weights family,1138,0.439367
mbpp_humaneval,mbpp_humaneval,Llama-3.1-8B-Instruct,Llama-3.1-8B-Instruct,llmrouterbench,Llama-3.1-8B-Instruct,meta/llama-3.1-8b,oss,True,all tagged models are OSS/open-weights,Llama-3.1-8B,none,base=Llama-3.1-8B; teacher=none; Meta Llama open-weights family,1138,0.608084
mbpp_humaneval,mbpp_humaneval,Llama-3.1-8B-UltraMedical,Llama-3.1-8B-UltraMedical,llmrouterbench,Llama-3.1-8B-UltraMedical,meta/llama-3.1-8b-ultramedical,oss,True,all tagged models are OSS/open-weights,Llama-3.1-8B,UltraMedical fine-tune (uncertain),base=Llama-3.1-8B; teacher=UltraMedical fine-tune (uncertain); Llama derivative,1138,0.542179
mbpp_humaneval,mbpp_humaneval,Llama-3.1-Nemotron-Nano-8B-v1,Llama-3.1-Nemotron-Nano-8B-v1,llmrouterbench,Llama-3.1-Nemotron-Nano-8B-v1,nvidia/llama-3.1-nemotron-nano,oss,True,all tagged models are OSS/open-weights,Llama-3.1,NVIDIA Nemotron alignment (uncertain),base=Llama-3.1; teacher=NVIDIA Nemotron alignment (uncertain); NVIDIA Nemotron derivative of Llama,1138,0.616872
mbpp_humaneval,mbpp_humaneval,MiMo-7B-RL-0530,MiMo-7B-RL-0530,llmrouterbench,MiMo-7B-RL-0530,mimo-7b,oss,True,all tagged models are OSS/open-weights,MiMo-7B,RL fine-tune (uncertain),base=MiMo-7B; teacher=RL fine-tune (uncertain); open small reasoning model,1138,0.561511
mbpp_humaneval,mbpp_humaneval,MiniCPM4.1-8B,MiniCPM4.1-8B,llmrouterbench,MiniCPM4.1-8B,minicpm4.1-8b,oss,True,all tagged models are OSS/open-weights,MiniCPM4.1-8B,none,base=MiniCPM4.1-8B; teacher=none; MiniCPM open-weights family,1138,0.339192
mbpp_humaneval,mbpp_humaneval,NVIDIA-Nemotron-Nano-9B-v2,NVIDIA-Nemotron-Nano-9B-v2,llmrouterbench,NVIDIA-Nemotron-Nano-9B-v2,nvidia-nemotron-nano-9b-v2,oss,True,all tagged models are OSS/open-weights,Llama-3.1,NVIDIA Nemotron alignment (uncertain),base=Llama-3.1; teacher=NVIDIA Nemotron alignment (uncertain); NVIDIA Nemotron derivative of Llama,1138,0.429701
mbpp_humaneval,mbpp_humaneval,OpenThinker3-7B,OpenThinker3-7B,llmrouterbench,OpenThinker3-7B,openthinker3-7b,oss,True,all tagged models are OSS/open-weights,Qwen-family 7B (uncertain),DeepSeek-R1 (uncertain),base=Qwen-family 7B (uncertain); teacher=DeepSeek-R1 (uncertain); open reasoning distill; exact base uncertain,1138,0.111599
mbpp_humaneval,mbpp_humaneval,Qwen2.5-Coder-7B-Instruct,Qwen2.5-Coder-7B-Instruct,llmrouterbench,Qwen2.5-Coder-7B-Instruct,qwen/qwen2.5-coder,oss,True,all tagged models are OSS/open-weights,Qwen2.5-Coder,none,base=Qwen2.5-Coder; teacher=none; Qwen2.5-Coder open-weights family,1138,0.761863
mbpp_humaneval,mbpp_humaneval,Qwen3-8B,Qwen3-8B,llmrouterbench,Qwen3-8B,qwen/qwen3-8b,oss,True,all tagged models are OSS/open-weights,Qwen3-8B,none,base=Qwen3-8B; teacher=none; Qwen3 open-weights family,1138,0.557996
mbpp_humaneval,mbpp_humaneval,cogito-v1-preview-llama-8B,cogito-v1-preview-llama-8B,llmrouterbench,cogito-v1-preview-llama-8B,cogito-v1-llama-8b,oss,True,all tagged models are OSS/open-weights,Llama-3.x-8B,Cogito alignment (uncertain),base=Llama-3.x-8B; teacher=Cogito alignment (uncertain); Llama derivative,1138,0.544815
mbpp_humaneval,mbpp_humaneval,gemma-2-9b-it,gemma-2-9b-it,llmrouterbench,gemma-2-9b-it,google/gemma-2-9b,oss,True,all tagged models are OSS/open-weights,Gemma-2-9B,none,base=Gemma-2-9B; teacher=none; Google Gemma open-weights family,1138,0.627417
mbpp_humaneval,mbpp_humaneval,glm-4-9b-chat,glm-4-9b-chat,llmrouterbench,glm-4-9b-chat,zai/glm-4-9b,oss,True,all tagged models are OSS/open-weights,GLM-4-9B,none,base=GLM-4-9B; teacher=none; Z.ai GLM open-weights family,1138,0.644991
mbpp_humaneval,mbpp_humaneval,granite-3.3-8b-instruct,granite-3.3-8b-instruct,llmrouterbench,granite-3.3-8b-instruct,ibm/granite-3.3-8b,oss,True,all tagged models are OSS/open-weights,Granite-3.3-8B,none,base=Granite-3.3-8B; teacher=none; IBM Granite open-weights family,1138,0.386643
mbpp_humaneval,mbpp_humaneval,internlm3-8b-instruct,internlm3-8b-instruct,llmrouterbench,internlm3-8b-instruct,internlm/internlm3-8b,oss,True,all tagged models are OSS/open-weights,InternLM3-8B,none,base=InternLM3-8B; teacher=none; InternLM open-weights family,1137,0.613017
repo_bugfix_model,llmrouterbench_swebench,claude-opus-4.1,claude-opus-4.1,llmrouterbench,claude-opus-4.1,anthropic/claude-opus-4,closed,False,at least one tagged model is closed/API-only,unknown,none,base=unknown; teacher=none; lineage uncertain,500,0.416
repo_bugfix_model,llmrouterbench_swebench,claude-sonnet-4,claude-sonnet-4,llmrouterbench,claude-sonnet-4,anthropic/claude-sonnet-4,closed,False,at least one tagged model is closed/API-only,unknown,none,base=unknown; teacher=none; lineage uncertain,500,0.346
repo_bugfix_model,llmrouterbench_swebench,deepseek-r1-0528,deepseek-r1-0528,llmrouterbench,deepseek-r1-0528,deepseek/deepseek-r1,oss,True,all tagged models are OSS/open-weights,DeepSeek-R1,none,base=DeepSeek-R1; teacher=none; DeepSeek-R1 open-weights reasoning family,500,0.286
repo_bugfix_model,llmrouterbench_swebench,deepseek-v3-0324,deepseek-v3-0324,llmrouterbench,deepseek-v3-0324,deepseek/deepseek-v3,oss,True,all tagged models are OSS/open-weights,DeepSeek-V3,none,base=DeepSeek-V3; teacher=none; DeepSeek-V3 open-weights family,500,0.25
repo_bugfix_model,llmrouterbench_swebench,deepseek-v3.1-terminus,deepseek-v3.1-terminus,llmrouterbench,deepseek-v3.1-terminus,deepseek/deepseek-v3,oss,True,all tagged models are OSS/open-weights,DeepSeek-V3,none,base=DeepSeek-V3; teacher=none; DeepSeek-V3 open-weights family,500,0.254
repo_bugfix_model,llmrouterbench_swebench,gemini-2.5-flash,gemini-2.5-flash,llmrouterbench,gemini-2.5-flash,google/gemini-2.5-flash,closed,False,at least one tagged model is closed/API-only,unknown,none,base=unknown; teacher=none; lineage uncertain,500,0.182
repo_bugfix_model,llmrouterbench_swebench,gemini-2.5-pro,gemini-2.5-pro,llmrouterbench,gemini-2.5-pro,google/gemini-2.5-pro,closed,False,at least one tagged model is closed/API-only,unknown,none,base=unknown; teacher=none; lineage uncertain,500,0.346
repo_bugfix_model,llmrouterbench_swebench,glm-4.6,glm-4.6,llmrouterbench,glm-4.6,zai/glm-4.6,oss,True,all tagged models are OSS/open-weights,GLM-4.6,none,base=GLM-4.6; teacher=none; Z.ai GLM open-weights family,500,0.218
repo_bugfix_model,llmrouterbench_swebench,gpt-5,gpt-5,llmrouterbench,gpt-5,openai/gpt-5,closed,False,at least one tagged model is closed/API-only,unknown,none,base=unknown; teacher=none; lineage uncertain,500,0.158
repo_bugfix_model,llmrouterbench_swebench,gpt-5-chat,gpt-5-chat,llmrouterbench,gpt-5-chat,openai/gpt-5,closed,False,at least one tagged model is closed/API-only,unknown,none,base=unknown; teacher=none; lineage uncertain,500,0.088
repo_bugfix_model,llmrouterbench_swebench,intern-s1,intern-s1,llmrouterbench,intern-s1,internlm/intern-s1,oss,True,all tagged models are OSS/open-weights,Intern-S1,none,base=Intern-S1; teacher=none; InternLM open-weights family,500,0.078
repo_bugfix_model,llmrouterbench_swebench,kimi-k2-0905,kimi-k2-0905,llmrouterbench,kimi-k2-0905,moonshot/kimi-k2,oss,True,all tagged models are OSS/open-weights,Kimi K2,none,base=Kimi K2; teacher=none; Moonshot Kimi K2 open-weights MoE,500,0.234
repo_bugfix_model,llmrouterbench_swebench,qwen3-235b-a22b-2507,qwen3-235b-a22b-2507,llmrouterbench,qwen3-235b-a22b-2507,qwen/qwen3-235b-a22b,oss,True,all tagged models are OSS/open-weights,Qwen3-235B-A22B,none,base=Qwen3-235B-A22B; teacher=none; Qwen3 MoE open-weights family,500,0.162
repo_bugfix_model,llmrouterbench_swebench,qwen3-235b-a22b-thinking-2507,qwen3-235b-a22b-thinking-2507,llmrouterbench,qwen3-235b-a22b-thinking-2507,qwen/qwen3-235b-a22b,oss,True,all tagged models are OSS/open-weights,Qwen3-235B-A22B,none,base=Qwen3-235B-A22B; teacher=none; Qwen3 MoE open-weights family,500,0.214
repo_bugfix_system_verified,swe_verified,20251127_openhands_claude-opus-4-5,20251127_openhands_claude-opus-4-5 [20251127_openhands_claude-opus-4-5],openhands,,system/openhands,unknown,False,no explicit model tag; system excluded from OSS universe,unknown,none,base=unknown; teacher=none; missing explicit model tag,500,0.776
repo_bugfix_system_verified,swe_verified,20250819_ACoder,ACoder [20250819_ACoder],acoder,claude-4-sonnet; claude-4.1-opus; gpt-5-0807-global; gemini-2.5-pro-06-17,anthropic/claude-opus-4+anthropic/claude-sonnet-4+google/gemini-2.5-pro+openai/gpt-5,closed,False,at least one tagged model is closed/API-only,unknown,none,base=unknown; teacher=none; lineage uncertain | base=unknown; teacher=none; lineage uncertain | base=unknown; teacher=none; lineage uncertain | base=unknown; teacher=none; lineage uncertain,500,0.764
repo_bugfix_system_verified,swe_verified,20250206_agentscope,AgentScope [20250206_agentscope],agentscope,claude-3-5-sonnet-20241022,anthropic/claude-sonnet-4,closed,False,at least one tagged model is closed/API-only,unknown,none,base=unknown; teacher=none; lineage uncertain,500,0.634
repo_bugfix_system_verified,swe_verified,20250214_agentless_lite_o3_mini,Agentless Lite + O3 Mini (20250214) [20250214_agentless_lite_o3_mini],agentless,o3-mini,o3-mini,closed,False,at least one tagged model is closed/API-only,unknown,none,base=unknown; teacher=none; lineage uncertain,500,0.424
repo_bugfix_system_verified,swe_verified,20250514_aime_coder,Aime-coder v1 + Anthopic Claude 3.7 Sonnet [20250514_aime_coder],aime,claude-3-7-sonnet-20250219,anthropic/claude-3.7-sonnet,closed,False,at least one tagged model is closed/API-only,unknown,none,base=unknown; teacher=none; lineage uncertain,500,0.664
repo_bugfix_system_verified,swe_verified,20250527_amazon.nova-premier-v1.0,Amazon Nova Premier 1.0 (2025-04-30) [20250527_amazon.nova-premier-v1.0],amazon,amazon.nova-premier-v1:0,amazon-nova-premier-v1-0,closed,False,at least one tagged model is closed/API-only,unknown,none,base=unknown; teacher=none; lineage uncertain,500,0.424
repo_bugfix_system_verified,swe_verified,20250405_amazon-q-developer-agent-20250405-dev,Amazon Q Developer Agent (v20250405-dev) [20250405_amazon-q-developer-agent-20250405-dev],amazon-q,,system/amazon-q,unknown,False,no explicit model tag; system excluded from OSS universe,unknown,none,base=unknown; teacher=none; missing explicit model tag,500,0.654
repo_bugfix_system_verified,swe_verified,20250924_artemis_agent_v2,Artemis Agent v2 (2025-09-24) [20250924_artemis_agent_v2],artemis,claude-sonnet-4-20250514,anthropic/claude-sonnet-4,closed,False,at least one tagged model is closed/API-only,unknown,none,base=unknown; teacher=none; lineage uncertain,500,0.57
repo_bugfix_system_verified,swe_verified,20250902_atlassian-rovo-dev,Atlassian Rovo Dev (2025-09-02) [20250902_atlassian-rovo-dev],atlassian,claude-sonnet-4-20250514; gpt-5,anthropic/claude-sonnet-4+openai/gpt-5,closed,False,at least one tagged model is closed/API-only,unknown,none,base=unknown; teacher=none; lineage uncertain | base=unknown; teacher=none; lineage uncertain,500,0.768
repo_bugfix_system_verified,swe_verified,20250316_augment_agent_v0,Augment Agent v0 [20250316_augment_agent_v0],augment,,system/augment,unknown,False,no explicit model tag; system excluded from OSS universe,unknown,none,base=unknown; teacher=none; missing explicit model tag,500,0.654
repo_bugfix_system_verified,swe_verified,20250610_augment_agent_v1,Augment Agent v1 [20250610_augment_agent_v1],augment,,system/augment,unknown,False,no explicit model tag; system excluded from OSS universe,unknown,none,base=unknown; teacher=none; missing explicit model tag,500,0.704
repo_bugfix_system_verified,swe_verified,20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,AutoCodeRover-v2.1 (Claude-3.5-Sonnet-20241022) [20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022],autocoderover,claude-3-5-sonnet-20241022,anthropic/claude-sonnet-4,closed,False,at least one tagged model is closed/API-only,unknown,none,base=unknown; teacher=none; lineage uncertain,500,0.516
repo_bugfix_system_verified,swe_verified,20250110_blackboxai_agent_v1.1,Blackbox AI Agent [20250110_blackboxai_agent_v1.1],blackbox,,system/blackbox,unknown,False,no explicit model tag; system excluded from OSS universe,unknown,none,base=unknown; teacher=none; missing explicit model tag,500,0.628
repo_bugfix_system_verified,swe_verified,20250710_bloop,Bloop [20250710_bloop],bloop,claude-4-sonnet-20250514,anthropic/claude-sonnet-4,closed,False,at least one tagged model is closed/API-only,unknown,none,base=unknown; teacher=none; lineage uncertain,500,0.712
repo_bugfix_system_verified,swe_verified,20250120_Bracket,Bracket.sh [20250120_Bracket],bracket,,system/bracket,unknown,False,no explicit model tag; system excluded from OSS universe,unknown,none,base=unknown; teacher=none; missing explicit model tag,500,0.532
