domain,k,panel_system_ids,panel,base_models,teachers,n_common,oracle,best_single_common,headroom,headroom_ci_low,headroom_ci_high,pairwise_phi,phi_floors,lineage_veto_pairs,tier
repo_bugfix_model,3,deepseek-v3-0324 | glm-4.6 | qwen3-235b-a22b-thinking-2507,deepseek-v3-0324 | glm-4.6 | qwen3-235b-a22b-thinking-2507,DeepSeek-V3 | GLM-4.6 | Qwen3-235B-A22B,none | none | none,500,0.404,0.25,0.154,0.102656,0.182835,deepseek-v3-0324 / glm-4.6: 0.422; deepseek-v3-0324 / qwen3-235b-a22b-thinking-2507: 0.329; glm-4.6 / qwen3-235b-a22b-thinking-2507: 0.362,yes; yes; yes,,A
repo_bugfix_model,3,deepseek-v3.1-terminus | kimi-k2-0905 | glm-4.6,deepseek-v3.1-terminus | kimi-k2-0905 | glm-4.6,DeepSeek-V3 | Kimi K2 | GLM-4.6,none | none | none,500,0.408,0.254,0.154,0.115935,0.168441,deepseek-v3.1-terminus / kimi-k2-0905: 0.426; deepseek-v3.1-terminus / glm-4.6: 0.360; kimi-k2-0905 / glm-4.6: 0.429,yes; yes; yes,,A
repo_bugfix_model,3,deepseek-r1-0528 | deepseek-v3-0324 | glm-4.6,deepseek-r1-0528 | deepseek-v3-0324 | glm-4.6,DeepSeek-R1 | DeepSeek-V3 | GLM-4.6,none | none | none,500,0.436,0.286,0.15,0.124493,0.167764,deepseek-r1-0528 / deepseek-v3-0324: 0.401; deepseek-r1-0528 / glm-4.6: 0.298; deepseek-v3-0324 / glm-4.6: 0.422,yes; yes; yes,,A
repo_bugfix_model,3,deepseek-r1-0528 | deepseek-v3.1-terminus | qwen3-235b-a22b-2507,deepseek-r1-0528 | deepseek-v3.1-terminus | qwen3-235b-a22b-2507,DeepSeek-R1 | DeepSeek-V3 | Qwen3-235B-A22B,none | none | none,500,0.436,0.286,0.15,0.12804,0.180258,deepseek-r1-0528 / deepseek-v3.1-terminus: 0.342; deepseek-r1-0528 / qwen3-235b-a22b-2507: 0.262; deepseek-v3.1-terminus / qwen3-235b-a22b-2507: 0.379,yes; yes; yes,,A
repo_bugfix_model,3,deepseek-r1-0528 | kimi-k2-0905 | glm-4.6,deepseek-r1-0528 | kimi-k2-0905 | glm-4.6,DeepSeek-R1 | Kimi K2 | GLM-4.6,none | none | none,500,0.436,0.286,0.15,0.124491,0.176476,deepseek-r1-0528 / kimi-k2-0905: 0.361; deepseek-r1-0528 / glm-4.6: 0.298; kimi-k2-0905 / glm-4.6: 0.429,yes; yes; yes,,A
repo_bugfix_model,3,deepseek-r1-0528 | glm-4.6 | qwen3-235b-a22b-thinking-2507,deepseek-r1-0528 | glm-4.6 | qwen3-235b-a22b-thinking-2507,DeepSeek-R1 | GLM-4.6 | Qwen3-235B-A22B,none | none | none,500,0.434,0.286,0.148,0.118054,0.190927,deepseek-r1-0528 / glm-4.6: 0.298; deepseek-r1-0528 / qwen3-235b-a22b-thinking-2507: 0.306; glm-4.6 / qwen3-235b-a22b-thinking-2507: 0.362,yes; yes; yes,,A
repo_bugfix_model,3,deepseek-r1-0528 | deepseek-v3-0324 | qwen3-235b-a22b-2507,deepseek-r1-0528 | deepseek-v3-0324 | qwen3-235b-a22b-2507,DeepSeek-R1 | DeepSeek-V3 | Qwen3-235B-A22B,none | none | none,500,0.432,0.286,0.146,0.11564,0.173644,deepseek-r1-0528 / deepseek-v3-0324: 0.401; deepseek-r1-0528 / qwen3-235b-a22b-2507: 0.262; deepseek-v3-0324 / qwen3-235b-a22b-2507: 0.310,yes; yes; yes,,A
repo_bugfix_model,3,deepseek-v3-0324 | kimi-k2-0905 | glm-4.6,deepseek-v3-0324 | kimi-k2-0905 | glm-4.6,DeepSeek-V3 | Kimi K2 | GLM-4.6,none | none | none,500,0.394,0.25,0.144,0.088989,0.161796,deepseek-v3-0324 / kimi-k2-0905: 0.412; deepseek-v3-0324 / glm-4.6: 0.422; kimi-k2-0905 / glm-4.6: 0.429,yes; yes; yes,,A
repo_bugfix_model,3,deepseek-r1-0528 | glm-4.6 | qwen3-235b-a22b-2507,deepseek-r1-0528 | glm-4.6 | qwen3-235b-a22b-2507,DeepSeek-R1 | GLM-4.6 | Qwen3-235B-A22B,none | none | none,500,0.428,0.286,0.142,0.111792,0.17469,deepseek-r1-0528 / glm-4.6: 0.298; deepseek-r1-0528 / qwen3-235b-a22b-2507: 0.262; glm-4.6 / qwen3-235b-a22b-2507: 0.359,yes; yes; yes,,A
repo_bugfix_model,3,deepseek-v3-0324 | kimi-k2-0905 | qwen3-235b-a22b-2507,deepseek-v3-0324 | kimi-k2-0905 | qwen3-235b-a22b-2507,DeepSeek-V3 | Kimi K2 | Qwen3-235B-A22B,none | none | none,500,0.386,0.25,0.136,0.083629,0.157026,deepseek-v3-0324 / kimi-k2-0905: 0.412; deepseek-v3-0324 / qwen3-235b-a22b-2507: 0.310; kimi-k2-0905 / qwen3-235b-a22b-2507: 0.424,yes; yes; yes,,A
